Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Report.Status,Publication.Date,Total.Onboard,Fatal.Serious.Count,Fatal.Serious.Rate,Aircraft.Damage,Make_Model,Make.Model
Accident,DCA09MA027,2009-02-13,"Clarence Center, NY",United States,043040N,0078385W,BUF,Buffalo-Niagara International,Fatal,Destroyed,Airplane,N200WQ,bombardier inc,dhc-8-402,No,2.0,Turbo Prop,121,SCHD,,COLGAN AIR INC,49.0,0.0,0.0,0.0,VMC,"The captains inappropriate response to the activation of the stick shaker, which led to an aerodynamic stall from which the airplane did not recover. Contributing to the accident were (1) the flight crew's failure to monitor airspeed in relation to the rising position of the low-speed cue, (2) the flight crew failure to adhere to sterile cockpit procedures, (3) the captains failure to effectively manage the flight, and (4) Colgan Airs inadequate procedures for airspeed selection and management during approaches in icing conditions.",30-04-2021,49.0,49.0,1.0,1,bombardier inc-dhc-8-402,bombardier inc-dhc-8-402
Accident,WPR09LA115,2009-02-14,"Rialto, CA",United States,034813N,1172426W,KL67,Rialto Municipal Airport,Non-Fatal,Substantial,Airplane,N86242,cessna,t337,No,2.0,Reciprocating,091,,Personal,Donald A. Benart,0.0,1.0,0.0,0.0,VMC,A partial loss of engine power to one engine during initial climb for undetermined reasons.,25-09-2020,1.0,1.0,1.0,0,cessna-t337,cessna-t337
Accident,CEN09LA165,2009-02-14,"Steamboat Springs, CO",United States,403059N,1065159W,SBS,Bob Adams Field,Non-Fatal,Substantial,Airplane,N486CD,cirrus,sr22,No,1.0,Reciprocating,091,,Personal,Vector Resources LLC,0.0,1.0,0.0,3.0,VMC,"The pilot's failure to apply brakes in a timely manner while landing on a snow-packed, ice-covered runway, and his delay in executing a go-around.",25-09-2020,4.0,1.0,0.25,0,cirrus-sr22,cirrus-sr22
Accident,CEN09LA168,2009-02-14,"Tulsa, OK",United States,036223N,0095595W,RVS,Richard L. Jones/Rivererside,Non-Fatal,Substantial,Airplane,N6300Q,cessna,152,No,1.0,Reciprocating,091,,Instructional,"Spartan Aviation Industries, Inc.",0.0,0.0,0.0,1.0,VMC,The pilot's improper flare and recovery from a bounced landing.,25-09-2020,1.0,0.0,0.0,0,cessna-152,cessna-152
Accident,ERA09WA174,2009-02-14,"Ica, Peru",Peru,001428S,0754519W,SPIA,Las Dunas,Non-Fatal,Substantial,Airplane,OB-1093,cessna,172,No,1.0,,UNK,,,Carlos Alberto Palacin Fernandez,0.0,3.0,0.0,0.0,VMC,None.,03-11-2020,3.0,3.0,1.0,0,cessna-172,cessna-172
Accident,ANC09CA020,2009-02-16,"Soldotna, AK",United States,602830N,0151217W,PASX,Soldotna,Non-Fatal,Substantial,Airplane,N418SP,beech,65-a90-1,No,2.0,Turbo Prop,091,,Personal,MISSIONARY AVIATION REPAIR CENTER,0.0,0.0,0.0,2.0,VMC,"The pilot's misidentification of the runway surface during landing. Contributing to the accident were the snow-covered terrain, and low-light conditions.",25-09-2020,2.0,0.0,0.0,0,beech-65-a90-1,beech-65-a90-1
Accident,WPR09FA116,2009-02-16,"Hagerman, ID",United States,424911N,0115617W,,,Fatal,Destroyed,Airplane,N8810P,piper,pa-24-260,No,1.0,Reciprocating,091,,Personal,,1.0,0.0,0.0,0.0,VMC,"The student pilot's spatial disorientation, which resulted in a loss of aircraft control and subsequent in-flight breakup. Contributing to the accident was the pilot's mental condition which could have contributed to the inappropriate decision to fly the night time cross-country flight.",25-09-2020,1.0,1.0,1.0,1,piper-pa-24-260,piper-pa-24-260
Accident,ERA09CA175,2009-02-16,"Reidsville, GA",United States,032332N,0008296W,TBR,Statesboro-Bulloch County Arpt,Non-Fatal,Substantial,Airplane,N9289H,cessna,172,No,1.0,Reciprocating,091,NSCH,Personal,Pegasus Air LLC,0.0,0.0,0.0,2.0,VMC,The pilot's failure to maintain control of the airplane during an attempted recovery from a stall/spin.,25-09-2020,2.0,0.0,0.0,0,cessna-172,cessna-172
Accident,CEN09WA176,2009-02-16,"Island of Cebaco, Panama",Panama,073415N,0081429W,,,Fatal,Substantial,Airplane,HP-1367 RS,cessna,206,No,1.0,Reciprocating,NUSN,,Unknown,,1.0,0.0,2.0,0.0,,"Not Required. Investigation is being conducted by AAC, Panama.",03-11-2020,3.0,1.0,0.3333333333333333,0,cessna-206,cessna-206
Accident,CEN09LA167,2009-02-17,"Grain Valley, MO",United States,039056N,0941248W,3GV,East Kansas City Airport,Non-Fatal,Substantial,Airplane,N7942D,beech,h35,No,1.0,Reciprocating,091,,Personal,Ronald L. Strahm,0.0,0.0,0.0,1.0,VMC,The loss of engine power due to fuel starvation (mechanical). Contributing to the accident was the forced landing on unsuitable terrain.,25-09-2020,1.0,0.0,0.0,0,beech-h35,beech-h35
Accident,ERA09FA169,2009-02-17,"Deltona, FL",United States,285741N,0081917W,,,Fatal,Substantial,Airplane,N493DA,cirrus,sr20,No,1.0,Reciprocating,091,,Instructional,Delta Connection Academy,2.0,0.0,0.0,0.0,VMC,"The pilot receiving instruction's failure to maintain adequate airspeed while maneuvering, which resulted in an aerodynamic stall and subsequent loss of control. Contributing to the accident was the flight instructor's inadequate supervision and both pilots' failure to deploy the ballistic parachute at a higher altitude.",25-09-2020,2.0,2.0,1.0,0,cirrus-sr20,cirrus-sr20
Incident,CEN09IA172,2009-02-17,"Grayslake, IL",United States,421947N,0088445W,,,Non-Fatal,Unknown,Airplane,N747KA,cessna,150,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,2.0,VMC,The failure of the number 1 cylinder intake valve which resulted in a partial loss of engine power. Contributing to the incident was the failure of the operator to maintain the engine per manufacturer's recommendations.,25-09-2020,2.0,0.0,0.0,0,cessna-150,cessna-150
Accident,WPR09LA117,2009-02-18,"Turlock, CA",United States,372923N,0120429W,O15,Turlock Municipal,Non-Fatal,Substantial,Airplane,N48761,cessna,152,No,1.0,Reciprocating,091,,Instructional,KS Aviation Inc.,0.0,1.0,0.0,1.0,VMC,The loss of engine power due to carburetor icing resulting from the pilot's failure to apply carburetor heat. Contributing to the accident was the instructor's inadequate supervision of the flight.,25-09-2020,2.0,1.0,0.5,0,cessna-152,cessna-152
Accident,ANC09LA021,2009-02-19,"Nome, AK",United States,643044N,1652642W,OME,Nome,Non-Fatal,Substantial,Airplane,N41185,piper,pa-31-350,No,2.0,Reciprocating,135,SCHD,,Frontier Flying Service,0.0,5.0,1.0,0.0,IMC,The pilot's continued flight into adverse weather and his failure to maintain clearance from terrain while on approach in flat light conditions.,25-09-2020,6.0,5.0,0.8333333333333334,0,piper-pa-31-350,piper-pa-31-350
Accident,WPR09CA126,2009-02-19,"Camas, WA",United States,453740N,1222415W,1W1,Grove Field Airport,Non-Fatal,Substantial,Airplane,N94805,ercoupe,415-e,No,1.0,Reciprocating,091,,Instructional,,0.0,0.0,0.0,1.0,VMC,The pilot's misjudged landing flare and inadequate recovery from a bounced landing.,25-09-2020,1.0,0.0,0.0,0,ercoupe-415-e,ercoupe-415-e
Accident,DCA09WA029,2009-02-20,"Tokyo, Japan",Japan,,,NRT,Narita International Airport,Non-Fatal,Unknown,Airplane,N676NW,boeing,747,No,,,121,SCHD,,,0.0,34.0,4.0,384.0,,,25-09-2020,422.0,34.0,0.08056872037914692,0,boeing-747,boeing-747
Accident,WPR09CA120,2009-02-20,"Lincoln, CA",United States,385433N,0121215W,LHM,Lincoln Regional Airport,Non-Fatal,Substantial,Airplane,N8816P,piper,pa-24-260,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,1.0,VMC,The pilot's failure to extend the landing gear for landing. Contributing to the accident was the pilot's diverted attention due to an open door and the airport's pilot activated runway lights turning off.,25-09-2020,1.0,0.0,0.0,0,piper-pa-24-260,piper-pa-24-260
Accident,WPR09CA121,2009-02-20,"Caldwell, ID",United States,433831N,0116389W,EUL,Caldwell Industrial Airport,Non-Fatal,Substantial,Airplane,N4729D,cessna,182,No,1.0,Reciprocating,091,,Personal,,0.0,2.0,0.0,0.0,VMC,The loss of engine power due to carburetor icing as a result of the pilot's failure to apply carburetor heat before reducing power and his failure to clear the engine during a prolonged glide.,25-09-2020,2.0,2.0,1.0,0,cessna-182,cessna-182
Accident,WPR09LA122,2009-02-20,"Big Bear Lake, CA",United States,341430N,0117055W,,,Non-Fatal,Substantial,Airplane,N6443E,cessna,172n,No,1.0,Reciprocating,091,,Personal,,0.0,2.0,0.0,0.0,VMC,The pilot's failure to maintain clearance from terrain while maneuvering in a ravine.  Contributing to the accident was the pilot's decision to continue flight in an area that exceeded the climb rate capabilities of the airplane.,25-09-2020,2.0,2.0,1.0,0,cessna-172n,cessna-172n
Accident,ANC09LA022,2009-02-20,"Kenai, AK",United States,060340N,0151140W,,,Non-Fatal,Substantial,Airplane,N5342G,dehavilland,dhc-2 / u-6a,No,1.0,Reciprocating,091,NSCH,Instructional,Civil Air Patrol - Alaska Wing,0.0,0.0,0.0,3.0,VMC,"The flight instructors decision to attempt a touch-and-go landing toward rising terrain and with a tailwind, resulting in an in-flight collision with terrain during takeoff.",25-09-2020,3.0,0.0,0.0,0,dehavilland-dhc-2 / u-6a,dehavilland-dhc-2 / u-6a
Accident,CEN09LA183,2009-02-20,"Kelleys Island, OH",United States,413617N,0082417W,89D,Kelleys Island Land Field Airp,Non-Fatal,Substantial,Airplane,N3710D,cessna,182,No,1.0,Reciprocating,091,,Personal,Paul D Hiller,0.0,0.0,0.0,1.0,VMC,The pilot's failure to maintain aircraft control while landing in gusty winds due to inadequate aileron cable tension.,25-09-2020,1.0,0.0,0.0,0,cessna-182,cessna-182
Accident,CEN09LA170,2009-02-21,"La Luz, NM",United States,032577N,0105588W,,,Non-Fatal,Substantial,Airplane,N8799A,beech,b35,No,1.0,Reciprocating,091,NSCH,Instructional,Sale Reported,0.0,0.0,0.0,2.0,VMC,A loss of engine power due to fuel starvation as a result of a blockage in the right fuel tank vent.,25-09-2020,2.0,0.0,0.0,0,beech-b35,beech-b35
Incident,WPR09IA123,2009-02-21,"Salt Lake City, UT",United States,404718N,1115839W,SLC,Salt Lake City Int. Airport,Non-Fatal,Minor,Airplane,N270YV,embraer,emb-120er,No,2.0,Turbo Prop,121,SCHD,,SKYWEST AIRLINES INC,0.0,0.0,0.0,4.0,VMC,The flight crew's failure to maintain clearance from the stationary vehicle while taxiing.,25-09-2020,4.0,0.0,0.0,0,embraer-emb-120er,embraer-emb-120er
Accident,ERA09CA172,2009-02-21,"Westminster, MD",United States,039281N,0007711W,2W2,Clearview Airpark,Non-Fatal,Substantial,Airplane,N139RA,cessna,182s,No,1.0,Reciprocating,091,,Personal,Richard Whitney,0.0,0.0,0.0,1.0,VMC,The pilot's failure to stop the airplane within the available runway after touchdown.,25-09-2020,1.0,0.0,0.0,0,cessna-182s,cessna-182s
Accident,WPR09CA136,2009-02-21,"Ogden, UT",United States,411144N,0112046W,OGD,Ogden Hinkley Airport,Non-Fatal,Substantial,Airplane,N8637D,piper,pa-22-160,No,1.0,Reciprocating,091,,Personal,Carl William Shepard,0.0,0.0,0.0,1.0,VMC,The loss of directional control during the landing roll due to the separation of the tailwheel spring retaining clip for unknown reasons.,25-09-2020,1.0,0.0,0.0,0,piper-pa-22-160,piper-pa-22-160
Accident,CEN09LA171,2009-02-22,"Falcon, CO",United States,385644N,1043411W,00V,Meadow Lake,Non-Fatal,Substantial,Airplane,N9487W,piper,pa-28c-235,No,1.0,Reciprocating,091,,Personal,9487W LLC,0.0,0.0,0.0,2.0,VMC,A loss of engine power due to fuel starvation as a result of the pilot's inadequate fuel management.,25-09-2020,2.0,0.0,0.0,0,piper-pa-28c-235,piper-pa-28c-235
Accident,WPR09LA124,2009-02-22,"Salinas, CA",United States,363928N,1213613W,,,Non-Fatal,Substantial,Airplane,N2835G,champion,7eca,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,2.0,0.0,VMC,The pilot's failure to maintain clearance from a wire while intentionally maneuvering at a low altitude.,25-09-2020,2.0,0.0,0.0,0,champion-7eca,champion-7eca
Incident,WPR09IA128,2009-02-22,"Tucson, AZ",United States,032657N,1105627W,TUS,Tucson International Airport,Non-Fatal,Minor,Airplane,N1408F,cessna,172h,No,1.0,Reciprocating,091,,Instructional,Sonoran Wings,0.0,0.0,0.0,2.0,VMC,The flight instructors inadequate situational awareness while taxiing that led to an encounter with jet blast.,25-09-2020,2.0,0.0,0.0,0,cessna-172h,cessna-172h
Accident,CEN09CA229,2009-02-22,"Manhattan, KS",United States,039816N,0096409W,KMHK,Manhattan Regional Airport,Non-Fatal,Substantial,Airplane,N733FR,cessna,172,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,2.0,VMC,The pilot's improper recovery from a bounced landing.,25-09-2020,2.0,0.0,0.0,0,cessna-172,cessna-172
Accident,CEN09LA173,2009-02-23,"Pueblo, CO",United States,381721N,1042947W,PUB,Pueblo Memorial,Non-Fatal,Substantial,Airplane,N171AF,piper,pa-31t,No,2.0,Turbo Prop,091,,Positioning,Aero Oro LLC,0.0,0.0,0.0,1.0,VMC,The pilot's improper flare and recovery from a bounced landing.,25-09-2020,1.0,0.0,0.0,0,piper-pa-31t,piper-pa-31t
Accident,DCA09WA035,2009-02-23,"Batam, Indonesia",Indonesia,,,,,Non-Fatal,Minor,Airplane,PK-LIO,mcdonnell douglas,md90,No,2.0,,NUSC,SCHD,,Lion Air,0.0,0.0,0.0,162.0,,.,03-11-2020,162.0,0.0,0.0,0,mcdonnell douglas-md90,mcdonnell douglas-md90
Accident,WPR09CA129,2009-02-24,"Twentynine Palms, CA",United States,341030N,1165030W,61CA,Bauer Airport,Non-Fatal,Substantial,Airplane,N210NS,cessna,t210,No,1.0,Reciprocating,091,,Personal,Brooks L. and Patricia M. Bauer,0.0,0.0,0.0,2.0,VMC,The pilot's inadequate compensation for the gusting wind conditions.,25-09-2020,2.0,0.0,0.0,0,cessna-t210,cessna-t210
Accident,CEN09WA174,2009-02-24,"Itzehoe, Germany",Germany,,,,,Fatal,Destroyed,Airplane,D-EPDK,cirrus,sr 22,No,,Reciprocating,NUSN,,Personal,,4.0,0.0,0.0,0.0,VMC,,25-09-2020,4.0,4.0,1.0,1,cirrus-sr 22,cirrus-sr 22
Accident,CEN09CA200,2009-02-24,"Fort Wayne, IN",United States,405843N,0851143W,FWA,Fort Wayne International,Non-Fatal,Substantial,Airplane,N94626,cessna,152,No,1.0,Reciprocating,091,,Instructional,FORT WAYNE FLIGHT ACADEMY INC,0.0,0.0,0.0,1.0,VMC,The student pilot's improper flare and recovery from a bounced landing.,25-09-2020,1.0,0.0,0.0,0,cessna-152,cessna-152
Accident,CEN09CA179,2009-02-25,"Denver, CO",United States,039347N,1045034W,KAPA,Centenial Airport,Non-Fatal,Substantial,Airplane,N75WY,aviat,a-1c,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,2.0,VMC,The pilot's failure to maintain control during taxi.  A contributing factor was the gusty winds.,25-09-2020,2.0,0.0,0.0,0,aviat-a-1c,aviat-a-1c
Accident,CEN09LA182,2009-02-25,"Johnson County Exec Airport, KS",United States,385025N,0944411W,OJC,Johnson County Executive Airpo,Non-Fatal,Substantial,Airplane,N734WD,cessna,172n,No,1.0,Reciprocating,091,,Personal,REGISTRATION PENDING,0.0,0.0,0.0,3.0,VMC,"The failure of the private pilot to see and avoid the student pilot's airplane, and the failure of the student pilot to avoid the approaching airplane.  Contributing to the accident was the failure of the student pilot to obtain taxi clearance.",25-09-2020,3.0,0.0,0.0,0,cessna-172n,cessna-172n
Accident,DCA09RA030,2009-02-25,"Amsterdam, Netherlands (the)",Netherlands,,,,,Fatal,Destroyed,Airplane,TC-JGE,boeing,b737-800,No,2.0,,NUSC,SCHD,,TURKISH AIRLINES INC,9.0,53.0,27.0,45.0,,,03-11-2020,134.0,62.0,0.4626865671641791,1,boeing-b737-800,boeing-b737-800
Accident,ERA09LA176,2009-02-26,"Ridgeland, SC",United States,322933N,0805932W,3J1,Ridgeland Airport,Fatal,Substantial,Airplane,N4981T,piper,pa-28-140,No,1.0,Reciprocating,091,,Personal,,1.0,0.0,1.0,0.0,VMC,The pilot's failure to maintain control of the airplane during a precautionary landing. Contributing to the accident was a partial loss of engine power for undetermined reasons.,25-09-2020,2.0,1.0,0.5,0,piper-pa-28-140,piper-pa-28-140
Accident,CEN09CA181,2009-02-26,"Broomfield, CO",United States,395431N,0010572W,KBJC,Rocky Mountain Metropolitan,Non-Fatal,Substantial,Airplane,N737KR,cessna,172n,No,1.0,Reciprocating,091,,Personal,"Alliance Flight Training, LLC",0.0,0.0,0.0,1.0,VMC,The pilot and airplane's inability to compensate for the unforecasted gusting wind conditions.,25-09-2020,1.0,0.0,0.0,0,cessna-172n,cessna-172n
Accident,ERA11LA067,2009-02-26,"Melbourne, FL",United States,028622N,0803829W,MLB,Melbourne International Airpor,Non-Fatal,Substantial,Airplane,N616FT,piper,pa-28-161,No,1.0,Reciprocating,091,,Instructional,F I T AVIATION LLC,0.0,0.0,0.0,2.0,VMC,"The student pilot's inadequate crosswind landing technique and the certified flight instructor's delayed remedial action, which resulted in a hard landing.",25-09-2020,2.0,0.0,0.0,0,piper-pa-28-161,piper-pa-28-161
Accident,WPR09CA131,2009-02-27,"Amargosa Valley, NV",United States,362922N,1162517W,70CL,Amargosa Airport,Non-Fatal,Substantial,Airplane,N2518S,cessna,tr182,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,4.0,VMC,The pilot's failure to maintain adequate airspeed and runway alignment.,25-09-2020,4.0,0.0,0.0,0,cessna-tr182,cessna-tr182
Incident,DCA09WA036,2009-02-27,",",United States,006200S,0106450E,,,Non-Fatal,Unknown,Airplane,PK-YTX,boeing,737,No,2.0,,NUSC,SCHD,,Batavia Air,0.0,0.0,0.0,131.0,,.,03-11-2020,131.0,0.0,0.0,0,boeing-737,boeing-737
Accident,ANC09CA024,2009-02-27,"Homer, AK",United States,593844N,1512836W,HOM,Homer,Non-Fatal,Substantial,Airplane,N2332D,cessna,170b,No,1.0,Reciprocating,091,,Personal,QUINN JERRY A,0.0,0.0,0.0,1.0,VMC,"The pilot's failure to maintain directional control  during the landing roll, resulting in a ground loop and substantial damage to the airplane. Factors contributing to the accident were a tailwind, and the pilot's decision to land downwind.",25-09-2020,1.0,0.0,0.0,0,cessna-170b,cessna-170b
Accident,ANC09CA033,2009-02-27,"Fairbanks, AK",United States,065380N,0146576W,,,Non-Fatal,Substantial,Airplane,N3578Z,piper,pa-18-150,No,1.0,Reciprocating,091,,Personal,NANCE GARY L,0.0,0.0,0.0,1.0,VMC,"The pilot's selection of unsuitable terrain for landing, which resulted in the main landing gear collapsing during taxi.",25-09-2020,1.0,0.0,0.0,0,piper-pa-18-150,piper-pa-18-150
Accident,CEN09FA178,2009-02-28,"Albany, LA",United States,303431N,0090363W,KHDC,Hammond Northshore Regional,Fatal,Substantial,Airplane,N91593,cessna,182m,No,1.0,Reciprocating,091,,Personal,,3.0,0.0,0.0,0.0,VMC,The pilot's loss of control of the airplane due to spatial disorientation after an encounter with marginal VMC and/or instrument meteorological conditions. Contributing to the accident was the pilots decision to attempt the flight with the preflight knowledge of deteriorating weather conditions.,25-09-2020,3.0,3.0,1.0,0,cessna-182m,cessna-182m
Accident,WPR09CA132,2009-02-28,"Fallbrook, CA",United States,332125N,0117155W,L18,Fallbrook Community Airport,Non-Fatal,Substantial,Airplane,N4290T,piper,pa-28r-200,No,1.0,Reciprocating,091,,Personal,M.Y. Air Corp,0.0,0.0,0.0,1.0,VMC,The pilot's improper use of the brakes and his failure to maintain control of the airplane during landing rollout.,25-09-2020,1.0,0.0,0.0,0,piper-pa-28r-200,piper-pa-28r-200
Accident,WPR09FA133,2009-02-28,"Rio Linda, CA",United States,384046N,1212647W,L36,Rio Linda Airport,Fatal,Substantial,Airplane,N3463X,mooney,m20e,No,1.0,Reciprocating,091,,Personal,David Michaud,2.0,0.0,0.0,0.0,VMC,"A partial loss of engine power for undetermined reasons and the pilot's failure to maintain an adequate airspeed while maneuvering during the initial climb, which resulted in a stall/spin.",25-09-2020,2.0,2.0,1.0,0,mooney-m20e,mooney-m20e
Accident,ERA09WA178,2009-02-28,"Liquino, Spain",Spain,,,,,Fatal,Substantial,Airplane,HC-BFQ,cessna,172,No,1.0,Reciprocating,NUSN,,Unknown,Aeroclub Pastaza,1.0,0.0,0.0,0.0,,None.,03-11-2020,1.0,1.0,1.0,0,cessna-172,cessna-172
Accident,CEN09CA187,2009-03-01,"Carlisle, AR",United States,344829N,0914243W,4M3,Carlisle Municipal Airport,Non-Fatal,Substantial,Airplane,N739NP,cessna,172n,No,1.0,Reciprocating,091,,Instructional,CENTRAL FLYING SERVICE INC,0.0,0.0,0.0,1.0,VMC,The student pilot's improper recovery from a bounced landing.,25-09-2020,1.0,0.0,0.0,0,cessna-172n,cessna-172n
Accident,ERA09WA180,2009-03-02,"San Miguel, Venezuela",Venezuela,092329N,0701216W,,,Fatal,Destroyed,Airplane,YV-2129,beech,be-100,No,2.0,,NUSC,NSCH,,Commad Air C.A.,6.0,0.0,0.0,0.0,IMC,None.,03-11-2020,6.0,6.0,1.0,1,beech-be-100,beech-be-100
Accident,WPR09FA146,2009-03-02,"Arcata, CA",United States,041354N,1241011W,KACV,Arcata,Fatal,Destroyed,Airplane,N521DS,diamond aircraft ind inc,da-40,No,1.0,Reciprocating,091,,Personal,Mitchell Enterprizes Inc.,2.0,0.0,0.0,0.0,VMC,The pilot's failure to maintain proper altitude and glidepath while executing a night instrument approach. Contributing to the accident was the pilot's fatigue.,25-09-2020,2.0,2.0,1.0,1,diamond aircraft ind inc-da-40,diamond aircraft ind inc-da-40
Accident,WPR09LA139,2009-03-03,"Calexico, CA",United States,344041N,1153428W,KCXL,Calexico,Non-Fatal,Substantial,Airplane,N9166E,maule,m-5,No,1.0,Reciprocating,091,,Aerial Observation,John A. Reed,0.0,0.0,0.0,2.0,VMC,A loss of engine power for undetermined reasons.,25-09-2020,2.0,0.0,0.0,0,maule-m-5,maule-m-5
Accident,CEN09CA186,2009-03-04,"Athens, TX",United States,032950N,0954942W,F44,Athens Municipal,Non-Fatal,Substantial,Airplane,N5470V,beech,a36,No,1.0,Reciprocating,091,,Unknown,,0.0,1.0,0.0,0.0,VMC,The non-certificated pilot's failure to maintain control during his unauthorized use of the airplane.,25-09-2020,1.0,1.0,1.0,0,beech-a36,beech-a36
Accident,DCA09WA034,2009-03-04,"Niigata, Japan",Japan,,,,,Non-Fatal,Unknown,Airplane,FGSPD,boeing,777,No,2.0,,NUSC,SCHD,,Air France,0.0,0.0,2.0,275.0,,,03-11-2020,277.0,0.0,0.0,0,boeing-777,boeing-777
Accident,CEN09LA190,2009-03-04,"Wood Lake, NE",United States,425213N,0100330W,,,Non-Fatal,Substantial,Airplane,N3352B,piper,pa-18a,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,2.0,0.0,VMC,"The pilot's failure to maintain adequate airspeed during the initial climb, which resulted in an aerodynamic stall.",25-09-2020,2.0,0.0,0.0,0,piper-pa-18a,piper-pa-18a
Accident,ERA09CA181,2009-03-05,"Crystal River, FL",United States,028522N,0823413W,CGC,Crystal River Airport,Non-Fatal,Substantial,Airplane,N94563,cessna,152,No,1.0,Reciprocating,091,,Instructional,Airline Career Associates (Orlando Flight Training,0.0,0.0,0.0,1.0,VMC,The student pilot's improper recovery from a bounced landing.,25-09-2020,1.0,0.0,0.0,0,cessna-152,cessna-152
Accident,ERA09CA192,2009-03-05,"Morristown, NJ",United States,404815N,0742418W,MMU,Morristown Municipal Airport,Non-Fatal,Substantial,Airplane,N176MA,diamond aircraft ind inc,da 20-c1,No,1.0,,091,,Instructional,Robert Haddow,0.0,0.0,0.0,1.0,VMC,The student pilot's failure to maintain directional control during the takeoff roll.,25-09-2020,1.0,0.0,0.0,0,diamond aircraft ind inc-da 20-c1,diamond aircraft ind inc-da 20-c1
Accident,CEN09CA192,2009-03-06,"Thomas, OK",United States,035437N,0983928W,1O4,Thomas Municipal Airport,Non-Fatal,Substantial,Airplane,N7681E,champion,7fc,No,1.0,Reciprocating,091,,Personal,,0.0,2.0,0.0,0.0,VMC,A partial loss of engine power for undetermined reasons.,25-09-2020,2.0,2.0,1.0,0,champion-7fc,champion-7fc
Accident,WPR09CA143,2009-03-06,"Bakersfield, CA",United States,035261N,0119325W,BFL,Bakersfield Meadows,Non-Fatal,Substantial,Airplane,N4134B,bellanca,17-31atc,No,1.0,Reciprocating,091,,Personal,David N Crowe,0.0,0.0,0.0,2.0,VMC,The pilot's failure to maintain directional control while landing.,25-09-2020,2.0,0.0,0.0,0,bellanca-17-31atc,bellanca-17-31atc
Accident,CEN09CA194,2009-03-06,"Harrold, SD",United States,443120N,0994420W,5G3,Harrold,Non-Fatal,Substantial,Airplane,N648LA,air tractor inc,at-502b,No,1.0,Turbo Prop,091,,Other Work Use,,0.0,1.0,0.0,0.0,VMC,The pilot's failure to maintain clearance from the power lines during his turn to reverse course due to weather.  Contributing to the accident was the reduced visibility at the time of the accident.,25-09-2020,1.0,1.0,1.0,0,air tractor inc-at-502b,air tractor inc-at-502b
Accident,WPR09LA149,2009-03-06,"Oceanside, CA",United States,033141N,1175116W,,,Fatal,Destroyed,Airplane,N726RJ,cessna,172n,No,1.0,Reciprocating,091,,Personal,Golden Wings Flying Club,1.0,0.0,0.0,0.0,VMC,A loss of aircraft control for undetermined reasons.,25-09-2020,1.0,1.0,1.0,1,cessna-172n,cessna-172n
Accident,ERA09CA195,2009-03-06,"Cleveland, MS",United States,334540N,0904528W,RNV,Cleveland Municipal Airport,Non-Fatal,Substantial,Airplane,N6089K,cessna,172p,No,1.0,Reciprocating,091,,Instructional,DELTA STATE UNIVERSITY,0.0,0.0,0.0,2.0,VMC,The inadvertent encounter with a bird in flight.,25-09-2020,2.0,0.0,0.0,0,cessna-172p,cessna-172p
Accident,ERA09LA189,2009-03-07,"Montauk, NY",United States,413514N,0071558W,MTP,Montauk Airport,Non-Fatal,Substantial,Airplane,N574PG,cirrus,sr22,No,1.0,Reciprocating,091,,Instructional,Air Box LLC,0.0,0.0,0.0,2.0,VMC,The student pilot's failure to maintain directional control during takeoff. Contributing to the accident was the instructor's delayed remedial action.,25-09-2020,2.0,0.0,0.0,0,cirrus-sr22,cirrus-sr22
Accident,ERA09LA191,2009-03-07,"Millville, NJ",United States,039222N,0075412W,MIV,Millville Municipal Airport,Non-Fatal,Destroyed,Airplane,N188TD,grumman,tbm-3,No,1.0,Reciprocating,091,,Personal,CLAIRE AVIATION,0.0,0.0,1.0,0.0,VMC,The pilot/mechanics failure to properly torque the fuel pressure line B-nut to the carburetor fitting.,25-09-2020,1.0,0.0,0.0,1,grumman-tbm-3,grumman-tbm-3
Accident,WPR09LA145,2009-03-08,"Oceanside, CA",United States,331757N,0117283W,,,Non-Fatal,Substantial,Airplane,N2478B,cessna,172r,No,1.0,Reciprocating,091,,Personal,Alan Jacobson,0.0,1.0,2.0,0.0,VMC,A total loss of engine power in flight due to the fatigue failure of the No. 4 cylinder.,25-09-2020,3.0,1.0,0.3333333333333333,0,cessna-172r,cessna-172r
Accident,ERA09FA185,2009-03-08,"Carrollton, GA",United States,333246N,0085828W,,,Fatal,Destroyed,Airplane,N1913M,cessna,182p,No,1.0,Reciprocating,091,NSCH,Personal,,3.0,0.0,0.0,0.0,IMC,"The pilot's decision to continue visual flight rules flight into an area of reduced visibility weather conditions, which resulted in disorientation and subsequent loss of aircraft control.",25-09-2020,3.0,3.0,1.0,1,cessna-182p,cessna-182p
